Diagnosis,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
AD,16.75498897568182,16.546415978182296,16.355210495349816,16.87056378181219,16.841831101075574,16.630989667898298
DLB,16.591222970049337,16.37469865586884,16.023589653197426,16.680074637985538,16.473435151392852,17.856978931505996
PD,13.100895245156638,13.125537068914728,13.260585860166449,12.99422812464878,12.932757357246421,34.585996343867
SVAD,16.937664170911358,16.709988345016242,16.585276918861684,16.916131592912357,17.023923199525605,15.82701577277274
