,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
ctx_lh_caudalanteriorcingulate,0.8464882545140331,0.8495734063744654,0.8056762042211402,0.8323230052585922,0.8469975084710736,0.257538384756506
ctx_lh_caudalmiddlefrontal,0.7948709122859473,0.7840079172051613,0.7482346102477265,0.829088756268929,0.8312223033091671,0.17024522964144403
ctx_lh_cuneus,0.6291796054745465,0.605725444888464,0.5973470993885652,0.6418335892933689,0.6501560823450212,0.29435406407776843
ctx_lh_entorhinal,1.597409099459726,1.5945506709741168,1.5191836283052196,1.5939045907772236,1.6270050249166965,0.6538177339408728
ctx_lh_fusiform,1.4679876269408054,1.4340268555158928,1.377688074512949,1.5068280765618582,1.5076594464314574,0.5601286814972704
ctx_lh_inferiorparietal,1.3470202205010298,1.2976199149942191,1.2599891598733999,1.346582854975318,1.3299923710857133,0.40761945162721047
ctx_lh_inferiortemporal,1.4797690995542512,1.4633883593538846,1.4113178939087585,1.5096737728778387,1.5463057762230985,0.5186261972386756
ctx_lh_isthmuscingulate,1.314814748741533,1.3161964290573744,1.2554854393582844,1.3450860111190572,1.327654794349095,0.48177464877867265
ctx_lh_lateraloccipital,1.126911642315142,1.0814395233525311,1.0475204080969052,1.1405722221336818,1.1592493320126933,0.3859130121667922
ctx_lh_lateralorbitofrontal,1.264188573691127,1.239914141690185,1.2122927203727547,1.3131547249789473,1.2931213805449102,0.4684511699931384
ctx_lh_lingual,0.7843682413727392,0.7938667873268664,0.7440027412781836,0.8007164522874782,0.8114529239153017,0.33952061939736894
ctx_lh_medialorbitofrontal,1.1847870745031417,1.1468227318572903,1.1126102833896676,1.1781935962638752,1.2229126292957249,0.45450980233783994
ctx_lh_middletemporal,1.5467673959565285,1.4736385081104153,1.4387731443060265,1.5057834242840844,1.5157074647497646,0.5264979892219724
ctx_lh_parahippocampal,0.8142810291253483,0.7983614970828954,0.7455597129670231,0.8235165694825469,0.814271187495469,0.3958905157419985
ctx_lh_paracentral,0.801405710029564,0.7907698881225486,0.752656247033943,0.7938400051447221,0.8037960279131355,0.3128629485971421
ctx_lh_parsopercularis,1.061513685196663,1.007220437190568,0.952637003537405,1.0445712426774412,1.070367784348166,0.43032101936851574
ctx_lh_parsorbitalis,0.8802168695075577,0.8303339987317566,0.8357529945280836,0.9120869055422636,0.9284140310884791,0.33269077197241614
ctx_lh_parstriangularis,0.852465988662171,0.8103135136548483,0.7870319563761595,0.8397982573034822,0.8154254467369649,0.2892460162652668
ctx_lh_pericalcarine,0.7216220727551182,0.7008249937569976,0.6998938544568988,0.7504718514030762,0.7424049184990886,0.3667767958171788
ctx_lh_postcentral,0.8082794471876353,0.7802300041956574,0.7501814862048892,0.7965545667075569,0.8132891778016879,0.27807695014795364
ctx_lh_posteriorcingulate,0.9887841436943327,0.9458334848604804,0.9185425921208544,1.013893147885159,1.0230791980884428,0.3353180099812292
ctx_lh_precentral,0.6910096990040631,0.6425694399855266,0.6208808596788982,0.6931131390151107,0.6956606958416688,0.18664496913918205
ctx_lh_precuneus,1.2449620305114413,1.1742087549501923,1.1381911069301147,1.2223184204330848,1.2332553495554122,0.4256039585005543
ctx_lh_rostralanteriorcingulate,0.9999992623156432,0.9614238718282138,0.9057940939476222,0.9893898163537483,0.9901293403921653,0.2884149009409969
ctx_lh_rostralmiddlefrontal,1.1754546862994946,1.1843604806870318,1.1063211809852167,1.1673485794629788,1.1885182178190439,0.393934020488973
ctx_lh_superiorfrontal,1.0275913269246035,1.0170060816433237,0.9559971184771328,1.0545134809641592,1.0491081939320128,0.27221939517174826
ctx_lh_superiorparietal,0.8215572004612673,0.788810904446873,0.7622913181318408,0.8365356930475334,0.8128383598584883,0.18175647597405817
ctx_lh_superiortemporal,1.3834198950917342,1.302746013524214,1.2560804472150107,1.3934585451101809,1.3414238921377393,0.42555152419921166
ctx_lh_supramarginal,1.1872173775989432,1.1172212272797435,1.1445507812047546,1.173441083413888,1.2025313710155525,0.35806781706475244
ctx_lh_transversetemporal,0.6039131056639324,0.6084368513125229,0.584593327439608,0.609297391548792,0.5767613973270279,0.32192631437751296
ctx_lh_insula,1.3483945848864012,1.3600350584829604,1.3128961591675283,1.4206975678651252,1.3758085460818512,0.4748345307726538
ctx_rh_caudalanteriorcingulate,0.6942647320844838,0.690622088811471,0.696735311378421,0.7079403099313306,0.7146101603960384,0.40351568782736136
ctx_rh_caudalmiddlefrontal,0.8855109908457978,0.8652886215491115,0.8403498910295877,0.9360173167057363,0.9302262568551322,0.2332797415347436
ctx_rh_cuneus,0.747955151661374,0.6926980895029233,0.6662664706495441,0.7254617445932845,0.7167706416688289,0.25315201199048704
ctx_rh_entorhinal,0.8471426139819597,0.807924116996928,0.7849104865537797,0.8165081621863294,0.8104148828119604,0.28881801404813084
ctx_rh_fusiform,1.7846119397059665,1.747836179115436,1.6948686330942502,1.8117692603712645,1.7933724229957924,0.7007576994445338
ctx_rh_inferiorparietal,1.2078737767622507,1.2106494017053115,1.2027015839272535,1.2551552966610056,1.2323029674404347,0.43149005108532185
ctx_rh_inferiortemporal,1.4155370993206615,1.385165326006831,1.329095405372975,1.4558289828331306,1.4753095918704802,0.4933857233732627
ctx_rh_isthmuscingulate,1.1540629970287344,1.1515248006578596,1.1006015202053587,1.1819309405184943,1.1686458453823874,0.40932135826550536
ctx_rh_lateraloccipital,1.0999808731738903,1.031938751968295,0.9889776233005564,1.09540971867288,1.0567563324453937,0.37269817645059655
