,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
ctx_rh_lateraloccipital,0.004918691093344477,0.004751972148127354,0.004515035425504984,0.004373709987450602,0.0047917051079545935,0.003973456850944471,0.004216992852943746,0.11534023587669812,0.005114849326169035,0.0038631723535061066
ctx_rh_lateralorbitofrontal,0.004918952342364305,0.004752367531892123,0.0045152817145274055,0.004373998879383328,0.08171888632342095,0.003973709110528686,0.004217237961711013,0.005447018337280825,0.00511516352029284,0.003863398189652391
ctx_rh_lingual,0.004918877597667281,0.004752126443293451,0.004515235753231994,0.09880582534923321,0.004791884377300651,0.003973571799348583,0.004217215752052395,0.005446955948696611,0.005115142249226513,0.003863283090457301
ctx_rh_medialorbitofrontal,0.004918634463604783,0.00475204946734652,0.004515056246745437,0.004373688611511618,0.004791706438987772,0.003973496389760595,0.004217032587294396,0.0054468086515596995,0.11034150983383545,0.003863209101673815
ctx_rh_middletemporal,0.0049191461094976584,0.004752541844567305,0.004515390131638842,0.004374091864087877,0.00479208800288651,0.08687867009303331,0.0042173517703315245,0.005447211041162864,0.005115288886929149,0.0038635047475521073
ctx_rh_parahippocampal,0.004918527915414155,0.004751902361655174,0.19657836863590658,0.004373540790693164,0.004791513993283693,0.0039733825434238815,0.004216895341309847,0.0054465122951264395,0.0051146885128472465,0.0038630732152036204
ctx_rh_paracentral,0.004918770707860837,0.00475212452437087,0.004515185737211486,0.11321472777223901,0.004791774841374881,0.0039736170137456665,0.004217101794216728,0.005446934399034076,0.005115049699953569,0.0038632385822461924
ctx_rh_parsopercularis,0.004918647161318024,0.004751926086569505,0.004514982714100665,0.14664125336481482,0.004791680690648279,0.003973486738822812,0.004217042079990232,0.00544672242818446,0.005114825001172716,0.0038631758602345363
ctx_rh_parsorbitalis,0.0049185857678224155,0.004751919345169699,0.004514965736339821,0.00437367003677347,0.12601345879232193,0.003973471891450121,0.004217006457423909,0.005446617356951928,0.005114760747346093,0.0038631476057034656
ctx_rh_parstriangularis,0.004919013086125191,0.0047523449586236235,0.0045153539039728685,0.004374086036395304,0.004792097258887276,0.003973739536408761,0.0042174721361086815,0.005447292424215629,0.005115333035815471,0.09480988286288566
ctx_rh_pericalcarine,0.004918762727716116,0.004752037477366205,0.004515063449948145,0.12873528288563243,0.004791766336524949,0.003973476464145287,0.004217190705954351,0.005446785948577443,0.005114962388465471,0.003863207477640472
ctx_rh_postcentral,0.004918631894607473,0.004752031582338622,0.004515041293644914,0.004373725330841288,0.004791670762165082,0.003973508627092545,0.004217002963758771,0.09785991126591237,0.005114837810708633,0.003863173119457751
ctx_rh_posteriorcingulate,0.004919040254639536,0.004752366365639292,0.004515316212245657,0.07787227363505153,0.0047920271518158974,0.0039737215838370026,0.0042172890051832375,0.005447082082847162,0.005115258744743073,0.003863436670837348
ctx_rh_precentral,0.004919117942439146,0.004752446767912998,0.004515465628012805,0.004374176552127026,0.004792176605532432,0.07948381883245641,0.0042173707949703055,0.005447366607366985,0.005115394456354314,0.0038635001201668987
ctx_rh_precuneus,0.004919253772493773,0.004752555716764289,0.0045155728546612955,0.004374222293192177,0.004792276499590145,0.0039739069631727865,0.004217402686306712,0.005447389350762573,0.00511547926484518,0.07366617400966397
ctx_rh_rostralanteriorcingulate,0.00491849082366081,0.00475184243718189,0.0045149280261136925,0.0043735995290386945,0.004791505667380241,0.003973357590675269,0.16086439157111887,0.005446624650121426,0.0051146777165901516,0.0038630844573658797
ctx_rh_rostralmiddlefrontal,0.09338680006695564,0.004752143910644278,0.0045151460681756754,0.004373873766138588,0.0047919183414946,0.003973605958509806,0.004217177051506083,0.005446900544826239,0.0051150004290604414,0.003863366771508297
ctx_rh_superiorfrontal,0.004918957544311561,0.08330378762999063,0.004515271744134518,0.004373933318968486,0.004792009668468248,0.00397371650955251,0.004217260872750524,0.005447051326179185,0.005115172237025741,0.0038634117235243817
ctx_rh_superiorparietal,0.004919063025929155,0.00475233891202309,0.00451536161923651,0.004374048305321458,0.004792062203312778,0.09838750102342972,0.004217271902244386,0.0054471864641721665,0.005115304127479221,0.003863431491502936
ctx_rh_superiortemporal,0.004919224690197417,0.004752660127181029,0.004515521474471187,0.004374209101637246,0.004792185225906515,0.0039738354612111945,0.004217440242037084,0.005447299883180278,0.0051154114085803695,0.06965583897932108
ctx_rh_supramarginal,0.004918732133706619,0.0047520729800781735,0.004515109680901376,0.09591483615255232,0.004791752123303374,0.003973542263611319,0.00421715745713229,0.005446786229935291,0.005114925944278565,0.003863275248859322
ctx_rh_transversetemporal,0.004918299231501804,0.0047515426226465395,0.004514662613393584,0.0043733662827139305,0.004791226809514001,0.003973140243589886,0.004216762354082627,0.25628095702403,0.005114444114700966,0.0038628652516191344
ctx_rh_insula,0.004918696234801968,0.0047520940678933525,0.0045150408687603776,0.004373739945860553,0.0047917406462905,0.0039735209180026725,0.00421706839056479,0.0054467777730163505,0.12295644147238952,0.0038632661946559894
