DX,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
AD,0.09979547509832493,0.10272134438008489,0.09991912827862652,0.10095977939106197,0.09873280582281203,0.10020991746052073,0.09932535938026052,0.09597965499593088,0.09737595602241235,0.10498057916996521
DLB,0.09762155439933247,0.10060472264559377,0.09999562438292284,0.10017837535479952,0.0991078659045668,0.10207162289211813,0.09924001905627826,0.09916625887997377,0.09972915448201389,0.10228480200240056
PD,0.09875889106408871,0.0946984723152867,0.10038115348414464,0.10135286372613302,0.09984773593712686,0.10404112642599624,0.10352371122659061,0.09988345993857575,0.09921126626532485,0.09830131961673265
SVAD,0.0998191829937839,0.10209347694532019,0.09987181380635442,0.09741027084857395,0.10004955538538794,0.09965127454602142,0.10083021788794486,0.09622177404930458,0.09876312156491027,0.1052893119723985
